分析項目,94年高中職學生完訪樣本數(人),94年高中職學生吸菸率(%),94年高中職男性學生完訪樣本數(人),94年高中職男性學生吸菸率(%),94年高中職女性學生完訪樣本數(人),94年高中職女性學生吸菸率(%),96年高中職學生完訪樣本數(人),96年高中職學生吸菸率(%),96年高中職男性學生完訪樣本數(人),96年高中職男性學生吸菸率(%),96年高中職女性學生完訪樣本數(人),96年高中職女性學生吸菸率(%),98年高中職學生完訪樣本數(人),98年高中職學生吸菸率(%),98年高中職男性學生完訪樣本數(人),98年高中職男性學生吸菸率(%),98年高中職女性學生完訪樣本數(人),98年高中職女性學生吸菸率(%),100年高中職學生完訪樣本數(人),100年高中職學生吸菸率(%),100年高中職男性學生完訪樣本數(人),100年高中職男性學生吸菸率(%),100年高中職女性學生完訪樣本數(人),100年高中職女性學生吸菸率(%),101年高中職學生完訪樣本數(人),101年高中職學生吸菸率(%),101年高中職男性學生完訪樣本數(人),101年高中職男性學生吸菸率(%),101年高中職女性學生完訪樣本數(人),101年高中職女性學生吸菸率(%),102年高中職學生完訪樣本數(人),102年高中職學生吸菸率(%),102年高中職男性學生完訪樣本數(人),102年高中職男性學生吸菸率(%),102年高中職女性學生完訪樣本數(人),102年高中職女性學生吸菸率(%),103年高中職學生完訪樣本數(人),103年高中職學生吸菸率(%),103年高中職男性學生完訪樣本數(人),103年高中職男性學生吸菸率(%),103年高中職女性學生完訪樣本數(人),103年高中職女性學生吸菸率(%),104年高中職學生完訪樣本數(人),104年高中職學生吸菸率(%),104年高中職男性學生完訪樣本數(人),104年高中職男性學生吸菸率(%),104年高中職女性學生完訪樣本數(人),104年高中職女性學生吸菸率(%),105年高中職學生完訪樣本數(人),105年高中職學生吸菸率(%),105年高中職男性學生完訪樣本數(人),105年高中職男性學生吸菸率(%),105年高中職女性學生完訪樣本數(人),105年高中職女性學生吸菸率(%)
現住地縣市別=苗栗縣,875,20.5548,462,28.6536,401,12.7038,842,17.0678,365,23.4983,440,9.0744,980,16.6618,396,23.8381,573,9.6564,1051,25.4557,471,34.0577,560,16.7144,852,16.7007,341,26.7703,497,6.1208,969,14.33,478,23.333,488,6.2436,925,9.9503,473,12.9366,452,7.1821,1029,12.9069,527,19.0969,497,6.808,1008,10.7872,473,16.2203,514,6.3189
現住地縣市別=原台中縣,1621,21.2504,685,30.5037,916,9.7849,1430,14.707,858,19.0587,548,8.2933,1431,18.0886,778,21.5495,638,12.7468,1209,14.4693,717,22.5108,492,3.9366,1134,13.6559,597,20.4875,534,4.8203,926,9.2311,452,13.2673,473,4.0524,1101,10.5913,520,14.9075,580,4.9983,889,10.4855,505,13.2467,384,7.1324,1020,8.0682,556,10.2762,463,5.2522
現住地縣市別=彰化縣,931,12.3919,440,16.1626,476,7.3376,863,19.689,474,25.1665,372,12.4912,934,14.9852,582,17.7179,341,10.8395,991,10.9842,386,16.2426,599,4.4703,985,12.8633,529,16.8601,443,5.45,868,12.7953,480,19.4554,388,4.6605,1002,8.3829,615,10.669,386,5.2584,1055,8.4294,683,11.9822,372,4.0672,1081,9.243,462,13.6168,616,3.9823
現住地縣市別=南投縣,884,15.5499,448,23.368,426,6.669,822,16.6303,383,19.1194,429,13.6834,903,16.2109,517,23.2781,385,8.8883,1192,15.4112,559,22.7531,621,6.713,825,18.0987,425,24.6299,388,9.8898,854,14.7694,468,23.8917,384,4.6134,1020,15.7756,541,22.0916,478,8.3175,1022,14.7634,432,22.0214,590,6.3708,968,11.8603,521,15.5673,445,7.1993
現住地縣市別=雲林縣,915,17.1497,480,21.7592,417,9.7213,943,14.0259,603,16.0933,313,9.2589,1023,13.1184,597,16.4978,416,8.1372,1007,16.4459,538,21.5595,456,7.7038,967,9.0485,516,13.0851,445,3.5108,896,8.8861,400,12.1728,496,4.3959,1045,13.7285,642,20.0805,402,5.2036,1120,9.4866,752,12.9741,368,4.9389,993,7.831,565,11.6745,425,2.6689
現住地縣市別=嘉義縣,755,23.5372,509,31.1882,233,10.1397,760,20.6796,404,25.2256,337,12.8019,821,20.2424,486,27.2423,318,8.422,1003,20.5547,526,26.1691,464,11.2049,933,14.794,480,21.3526,443,5.7829,818,14.7429,499,20.5788,319,5.9355,951,12.0494,558,15.442,390,5.9515,1040,12.322,620,17.464,420,4.1616,1080,14.0162,664,18.1308,415,7.4034
現住地縣市別=原台南縣,920,13.4578,370,19.5068,539,6.1388,996,9.1153,629,13.5326,359,3.7645,1015,10.1707,416,15.1782,593,4.5243,1167,8.4937,635,12.5615,527,3.5604,887,9.8711,305,11.6905,572,7.3576,850,17.4173,515,22.2251,335,11.9475,1126,8.0056,482,12.3056,642,2.8229,1057,8.3164,655,13.233,402,2.6057,947,10.1328,498,12.6275,447,7.2216
現住地縣市別=原高雄縣,920,19.6176,420,26.1197,490,11.7505,1169,15.1291,475,19.3512,654,7.8386,1052,9.8371,537,13.777,502,4.8985,975,20.7884,595,28.3476,376,11.1167,818,20.6018,531,20.6348,283,9.2246,816,17.0797,402,26.4255,414,6.5734,1032,16.347,632,23.1569,398,8.5707,1117,10.7409,600,16.8304,517,3.8198,864,9.2312,456,13.4696,407,4.447
現住地縣市別=屏東縣,886,15.7753,422,24.4406,445,7.126,987,15.0996,470,18.5888,492,10.9479,1010,17.3977,526,25.0126,466,8.9747,1091,15.838,538,19.0207,545,12.1295,838,15.0956,500,20.8327,328,7.6263,830,11.9882,377,17.5789,451,6.5548,1118,11.9908,637,19.2119,481,4.6661,997,12.4317,330,17.9128,667,6.9742,1010,16.481,318,26.2829,692,6.7454
現住地縣市別=台東縣,795,22.0095,514,26.9166,269,14.3388,760,25.4127,419,30.9439,318,17.02,622,25.656,336,30.7929,279,19.1956,1123,18.5304,603,23.9968,516,11.4745,824,26.8939,419,34.4507,395,16.9143,740,15.1313,471,22.1906,269,6.4356,1050,20.6003,575,29.7311,473,9.4451,990,21.4387,447,28.5555,540,12.9027,967,20.0636,497,26.7831,465,11.7167
現住地縣市別=花蓮縣,852,19.7393,336,27.2356,504,11.7087,972,24.1535,502,27.0261,459,20.47,906,19.1843,481,25.8978,422,11.8655,955,15.6997,444,21.0153,506,9.4924,882,18.1544,427,23.3188,441,11.4663,804,14.5303,423,23.2643,379,5.5703,1001,14.3909,520,22.1476,480,6.0136,1009,16.9184,483,22.5901,526,10.9892,874,21.8548,484,29.6736,386,12.7992
現住地縣市別=澎湖縣,338,13.07,181,19.6485,150,5.688,965,13.2411,523,18.5261,428,7.1599,598,14.769,323,18.7558,268,9.64,665,16.6603,366,21.1903,295,10.8796,599,17.0611,290,22.7143,305,9.78,481,16.4269,270,23.4525,211,8.3994,421,14.4798,214,21.2823,207,6.7884,461,10.9719,260,14.975,201,6.5055,388,7.9599,218,8.942,169,6.3291
現住地縣市別=金門縣,595,15.1337,251,22.9461,329,6.8009,743,12.6345,358,18.0199,366,6.0843,521,12.0129,242,18.7479,271,4.4321,537,14.5548,276,20.9274,259,6.8256,480,12.4968,226,19.5358,248,4.3626,531,13.2388,264,20.9942,266,4.0802,392,15.8623,178,23.0665,213,7.3376,476,4.2085,238,7.46,238,0.4261,412,12.4878,249,19.8244,162,3.7271
現住地縣市別=連江縣,312,11.5512,156,16.3399,155,6.7114,326,8.6687,172,9.3567,145,7.6923,310,17.0685,162,26.5946,148,7.1283,263,14.3121,133,18.5151,129,8.6877,314,18.3005,158,25.4455,155,9.0139,287,10.0614,150,15.3897,137,3.0106,300,9.0418,164,10.1527,136,7.924,310,10.2758,171,13.1936,139,4.6768,240,9.8587,140,14.6531,98,1.0247
現住地縣市別=台中市,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2282,12.878,1127,19.9796,1152,4.9426,2080,12.5094,1055,17.3026,1022,7.2367,1873,7.5536,780,11.1044,1092,3.6081,2179,8.5528,997,13.1013,1181,3.5013,1854,7.1413,957,10.3155,897,3.7342,2041,5.8125,1087,7.5121,950,3.9828
現住地縣市別=台南市,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2423,11.2078,1474,15.848,933,6.0272,1734,10.8221,656,14.7791,1061,6.1033,1645,10.7353,771,15.7988,874,5.6908,2083,7.7391,812,12.4189,1269,2.7902,1940,8.8103,1180,14.1416,760,3.2866,2104,8.9631,1014,13.1458,1087,4.6368
現住地縣市別=高雄市,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2002,18.0085,1075,25.3572,913,9.6339,1794,13.8649,941,18.6414,832,7.5058,1657,12.0926,848,18.3618,809,5.4844,1994,14.2091,1150,20.7756,842,7.2429,2114,10.3379,1004,16.3565,1109,4.1072,1828,8.25,962,11.6349,863,4.7517
